Shape,date,time,title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,latitude,longitude,country_name,state,gazetteer_closest_point,gazetteer_distance
"(94.24416766300004, 26.14454469900005)",01/07/2017 22:00,22:00,Landslide along Wokha-Merapani road,"Wokha Sadar Sub-District, Wokha, Nagaland",5km,landslide,downpour,small,above_road,0,0,26.1445447,94.24416766,India,Nagaland,Yimpang,15.57
"(91.87202792700003, 26.20450453500007)",03/07/2017 07:00,07:00,Landslide in Panikhaiti kills girl,"Panikhaiti, Kamrup Metropolitan, Assam State, India",1km,landslide,continuous_rain,medium,natural_slope,1,0,26.20450454,91.87202793,India,Assam,Gauhati,12.21
"(94.21263588600004, 27.98531715300004)",04/07/2017 22:00,22:00,Landslide in Daporijo,"Abotani Colony, Daporijo Township, Arunachal Pradesh, India",1km,landslide,rain,medium,above_road,0,0,27.98531715,94.21263589,India,Arunachal Pradesh,Daparijo,1.19
"(94.24222574400005, 26.11613907700007)",01/07/2017 22:00,22:00,Landslides blocks Wokha-Merapani Road,"Wokha Sadar Sub-District, Wokha, Nagaland",5km,landslide,continuous_rain,small,above_road,0,0,26.11613908,94.24222574,India,Nagaland,Yimpang,18.72
"(94.26296826100008, 27.978757513000062)",04/07/2017 22:00,22:00,Landslide along Daporijo-Dumporijo road,"Daporijo-Dumporijo road, Arunachal Pradesh, India",10km,landslide,rain,small,above_road,0,0,27.97875751,94.26296826,India,Arunachal Pradesh,Daparijo,4
"(92.87641206800004, 23.694611071000054)",28/06/2017 00:00,unknown,Landslide damages road,"Aizawl, Mizoram State, India",10km,landslide,other,large,above_road,0,0,23.69461107,92.87641207,India,Mizoram,Aizwal,8.35
"(94.55427722900004, 26.33125309500008)",01/07/2017 22:00,22:00,Landslide blocks roads,"Chuchuyimpang, Mokokchung, Nagaland",1km,landslide,downpour,medium,above_road,0,0,26.3312531,94.55427723,India,Nagaland,Mongseyimti,12.93
"(88.25902123200007, 27.021493108000072)",06/07/2017 20:00,08:00,"Landslide obstructs road, breaks water pipe","Alubari, Darjeeling, West Bengal, India",1km,landslide,continuous_rain,medium,above_road,0,0,27.02149311,88.25902123,India,West Bengal,Darjeeling,2.16
"(75.46743478000008, 34.277038024000035)",05/06/2017 20:00,20:00,Landslide near Zojila,"Zojila area, between Sonarmarg and Meenmarg",25km,landslide,rain,small,above_road,0,0,34.27703802,75.46743478,India,Jammu and Kashmir,Matayan,16.12
"(80.23721800000004, 30.070512000000065)",10/08/2016 20:00,20:00,Landslide in Munsyari,"Munsyari, Pithoragarh, Uttarakhand, India",1km,landslide,continuous_rain,small,above_road,1,0,30.070512,80.237218,India,Uttaranchal,Mathkot,7.21
"(76.86942779700007, 11.341658084000073)",01/06/2017 10:00,10:00,Landslide near Coonooer,Coonoor-Mettupalyam road near Kallar,5km,landslide,rain,small,above_road,0,0,11.34165808,76.8694278,India,Tamil Nadu,Coonoor,8.26
"(78.41278400000004, 31.581485000000043)",15/08/2016 22:00,22:00,Landslide in Nyugalsari,Y:31.581485 X:78.412784,25km,landslide,rain,small,above_road,0,0,31.581485,78.412784,India,Himachal Pradesh,Burati Thatang,24.44
"(74.66018578400008, 13.900745464000067)",12/06/2017 09:00,09:00,Landslide on Southern Railway,"Along track betweek Jokatte and Padil stations, near Mangaluru",5km,landslide,rain,small,above_road,0,0,13.90074546,74.66018578,India,Karnataka,Bainduru,7.72
"(91.89496619700003, 23.864699556000062)",03/06/2017 20:00,20:00,Landslide in Tripura,Vidyamohan Chowdhury Para (???) of remote Dhalai district,50km,landslide,continuous_rain,medium,natural_slope,3,1,23.86469956,91.8949662,India,Tripura,Tripura,13.57
"(88.26672249500007, 26.965318595000042)",05/06/2017 20:00,20:00,"Landslide in Darjeeling area, Sonada","Daragoan (?) in Sonada area, Darjeeling",10km,landslide,rain,medium,urban,1,2,26.9653186,88.2667225,India,West Bengal,Darjeeling,8.42
"(74.93828041000006, 33.01739980800005)",21/06/2017 22:00,22:00,Landslide in Trikuta Hills,"Bhairon Ghati track to Shri Mata Vaishno Devi, Katra, Reasi district, Trikuta Hills",1km,landslide,rain,small,natural_slope,0,0,33.01739981,74.93828041,India,Jammu and Kashmir,Riasi,12.61
"(74.23352994600003, 33.351492687000075)",08/06/2017 05:00,05:00,Landslide in Jammu and Kashmir,"Dungi area, Jammu and Kashmir",25km,landslide,unknown,small,natural_slope,1,2,33.35149269,74.23352995,India,Jammu and Kashmir,Rajauri,6.3
"(74.93530188600005, 33.01346368600008)",30/06/2017 12:00,12:00,Landslide hits path to Vaishno Devi shrine,"Himtoki Route, Jammu and Kashmir",1km,landslide,rain,medium,above_road,1,8,33.01346369,74.93530189,India,Jammu and Kashmir,Riasi,12.65
"(93.54136779000004, 27.058803844000067)",21/06/2017 07:00,07:00,Landslide in Itanagar,"Poma, 6km away from Itanagar",1km,landslide,rain,small,natural_slope,0,0,27.05880384,93.54136779,India,Arunachal Pradesh,Kaolakhat,48.47
"(91.88189200000005, 25.907233000000076)",26/05/2017 17:00,17:00,Retaining wall collapse in Nongpoh,"St Paul's Secondary School, Nongpoh",exact,landslide,rain,small,urban,0,3,25.907233,91.881892,India,Meghalaya,Umran,15.31
"(93.15020651800006, 24.324205389000042)",26/06/2017 00:00,00:00,Landslide destroys section of National Highway 2,"NH 2, Manipur State, India",5km,landslide,downpour,large,above_road,0,0,24.32420539,93.15020652,India,Manipur,Parbung,9.81
"(76.89785917800003, 8.558668245000035)",05/06/2017 15:00,15:00,Landslide in Construction site in Pangappara,"Pangappara, near Thiruvananthapuram",5km,landslide,construction,medium,urban,4,1,8.55866825,76.89785918,India,Kerala,Trivandrum,9.11
"(74.66018578400008, 13.900745464000067)",12/06/2017 09:00,09:00,Landslide on Southern Railway,"Along track betweek Jokatte and Padil stations, near Mangaluru",5km,landslide,rain,small,above_road,0,0,13.90074546,74.66018578,India,Karnataka,Bainduru,7.72
"(94.36416626300007, 25.119566745000043)",12/06/2017 22:00,22:00,Mudslide in Eastern Manipur,"Khaivarentang village (??) in Ukhrul, Manipur",50km,mudslide,continuous_rain,medium,natural_slope,0,0,25.11956675,94.36416626,India,Manipur,Chattrik,31.21
"(91.82931979300008, 24.194674512000063)",03/06/2017 22:00,22:00,Landslide in Kamalpur,Kamalpur,10km,landslide,rain,medium,urban,3,1,24.19467451,91.82931979,India,Tripura,Kamalpur,6.96
"(73.02227600000003, 19.170539000000076)",29/08/2016 04:00,04:00,Landslide near Rehamania Hospital,"Rehamania Hospital, Mumbra Bypass, Thane, Maharashtra, India",exact,landslide,rain,small,above_road,0,0,19.170539,73.022276,India,Maharashtra,Dombivli,7.8
"(93.65975251500004, 27.106472262000068)",01/07/2017 05:00,05:00,Landslide near Dree Festival Ground,"Dree Festival Ground, NH-415, Arunachal Pradesh, India",exact,landslide,downpour,medium,below_road,0,0,27.10647226,93.65975252,India,Arunachal Pradesh,North Lakhimpur,46.6
"(93.60815652400004, 27.08168564700003)",01/07/2017 07:00,07:00,House in Itanagar washed away by landslide,"Sanglo Potum (??), Itanagar, Papum Pare, Arunachal Pradesh",5km,landslide,continuous_rain,medium,natural_slope,0,0,27.08168565,93.60815652,India,Arunachal Pradesh,Kaolakhat,50.3
